,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Day,Hour
0,692-92-5582,B,Abuja,Member,Female,Food and beverages,19742.4,3,2961.36,62188.55999999999,2019-02-20 00:00:00,2021-08-23 13:27:00,Card,59227.2,4.761904762,2961.36,5.9,2019,2,20,13
1,351-62-0822,B,Abuja,Member,Female,Fashion accessories,5212.8,4,1042.5600000000002,21893.76,2019-02-06 00:00:00,2021-08-23 18:07:00,Epay,20851.2,4.761904762,1042.5600000000002,4.5,2019,2,6,18
2,529-56-3974,B,Abuja,Member,Male,Electronic accessories,9183.6,4,1836.72,38571.12,2019-03-09 00:00:00,2021-08-23 17:03:00,Cash,36734.4,4.761904762,1836.72,6.8,2019,3,9,17
3,299-46-1805,B,Abuja,Member,Female,Sports and travel,33739.2,6,10121.76,212556.96,2019-01-15 00:00:00,2021-08-23 16:19:00,Cash,202435.2,4.761904762,10121.76,4.5,2019,1,15,16
4,319-50-3348,B,Abuja,Normal,Female,Home and lifestyle,14507.999999999998,2,1450.8000000000002,30466.8,2019-03-11 00:00:00,2021-08-23 15:30:00,Epay,29016.0,4.761904762,1450.8000000000002,4.4,2019,3,11,15
5,371-85-5789,B,Abuja,Normal,Male,Health and beauty,31672.800000000003,3,4750.92,99769.32,2019-03-05 00:00:00,2021-08-23 10:40:00,Epay,95018.4,4.761904762,4750.92,5.1,2019,3,5,10
6,273-16-6619,B,Abuja,Normal,Male,Home and lifestyle,11952.000000000002,2,1195.2,25099.2,2019-03-15 00:00:00,2021-08-23 12:20:00,Card,23904.000000000004,4.761904762,1195.2,4.4,2019,3,15,12
7,649-29-6775,B,Abuja,Normal,Male,Fashion accessories,12067.2,1,603.36,12670.56,2019-02-08 00:00:00,2021-08-23 15:31:00,Cash,12067.2,4.761904762,603.36,6.7,2019,2,8,15
8,145-94-9061,B,Abuja,Normal,Female,Food and beverages,31809.6,5,7952.4,167000.4,2019-01-25 00:00:00,2021-08-23 19:48:00,Cash,159048.0,4.761904762,7952.4,9.6,2019,1,25,19
9,871-79-8483,B,Abuja,Normal,Male,Fashion accessories,33886.8,5,8471.699999999999,177905.7,2019-02-25 00:00:00,2021-08-23 19:39:00,Card,169434.0,4.761904762,8471.699999999999,4.8,2019,2,25,19
